,review
10,"The book tells us things tha we subconsciously already know, but choose to ignore as we are unaware of its gravitas. The power of patience, time and compounding is explained in a very layman terms with several suitable examples. A must read for anyone and everyone."
11,Read more
12,Over all it is a good book with great knowledge but paper quality in average
13,Read more
14,"The Psychology of Money is a great book for anyone who wants to understand how their emotions and psychology affect their financial decisions. Housel, a former investment manager, uses stories and anecdotes to illustrate the often irrational ways that people think about money. He also provides practical advice on how to make better financial decisions.One of the things that I liked most about the book is that it is not just about how to make money. It is also about how to use money to achieve your goals and live a happy and fulfilling life. Housel argues that money is a tool, and like any tool, it can be used for good or for evil. It is up to us to decide how we want to use it.I would highly recommend The Psychology of Money to anyone who is interested in learning more about the psychology of money and how to make better financial decisions. It is a well-written and insightful book that will help you to understand your own relationship with money and how to use it to achieve your goals."
15,Read more
16,"I know what you’re thinking, oh great not another personal finance book? At first I also ignored this book ever since it became wildly popular, as I simply had enough of reading the type of cliche personal finance books after reading the last 2 books about money by a certain personal development maestro. But then I stumbled upon Morgan Housel’s interview at the Tim Ferriss Show. And, to be frank, he’s not what I thought he was.He’s not that typical personality that preach about personal finance from the perspective of “expert slash motivational speaker.” He doesn’t make a sales pitch for some one-size-fits-all formula to get rich, like what most of the so-called finance gurus are offering.But instead, he’s a market guy who understands the complex dynamism of trading/investing, who is obsessed with behavioural finance as the reasoning for market movements and/or business growth, who explains that our relationship with money is not science or math but dopamine and cortisol, it’s fear and greed, it’s pride and envy and social comparisons, or in short our relationship with money is actually psychological.Right from the start Housel remarked that doing well with money actually has little to do with how smart we are and a lot to do with how we behave. And behavior is not easy to teach, even to really smart people. He then added, “[a] genius who loses control of their emotions can be a financial disaster. The opposite is also true. Ordinary folks with no financial education can be wealthy if they have a handful of behavioral skills that have nothing to do with formal measures of intelligence.”Hence, the unbelievable story of Ronald Read at the beginning of the book, a janitor who gave away $6 million to the local hospital when he passed away, in contrast with Richard Fuscone, a Harvard MBA and former Merrill Lynch executive who lost almost everything at the end of his story. This, in essence, is what the book is about, the good approaches towards money that can be implemented even by the janitor (that we should emulate), and the bad ones even by the likes of the Harvard-educated executive (that we should avoid).And the first thing that we need to understand is that everyone is different. We have different personalities, different childhood backgrounds, different education, different goals, and thus it is only natural that we have different risk tolerances and attitudes towards money, saving and investment. For example, baby boomers that grow up in the Great Depression era will have different attitude towards risk and reward compared with millennials who live under a low inflation low interest rate environment.Another important point in the book is that tails drive everything. There are around 15 billion lives that were born between 19th and 20th century but imagine 7% of them were never born, such as Adolf Hitler, Joseph Stalin, Mao Zedong, Gavrilo Princip, Thomas Edison, Bill Gates, and Martin Luther King. Or imagine the last century without the small percentage of occurrences such as Great Depression, World War 2, The Manhattan Project, Vaccines, antibiotics, September 11th, and the fall of the Soviet Union. The point is, a small percentage of people or events create the most impacts in history.The same concept also occur in investing. As Housel describes, since 1980 the Russell 3000 index has increased more than 73-fold, which is a spectacular return. However, if we look closer, 40% of the companies in the index were effectively failures, while the 7% of components performed extremely well and were more than enough to offset the flops. And there’s more. Within the most performing companies in the market there are even more tail events. In 2018, Amazon alone drove 6% of the S&P 500 returns, while Amazon’s growth itself was almost entirely thanks to Amazon Prime and Amazon Web Services, while others such as Fire Phone and travel agencies have failed.This is also where Housel emphasized the importance of “batting average”, that it is ok to have small losses here and there as long as the wins can more than compensate for the whole performance. This approach is valid for money and any other functions in life.Moreover, in this immensely informative book in just 183 pages, there are many more lessons on the psychology of money that helps to frame and re-frame our mindsets, such as the relationship between luck and risk, the magic of compounding, the difference between fees and fines, how historical trends are not prophecies, how optimistic-pessimistic outlooks can influence our decision makings, and one important mindset that rarely discussed by any other commercial personal finance books: the importance of contentment.Because ultimately, Housel concluded, “wealth is what you don’t see. Wealth is the nice cars not purchased. The diamonds not bought. The watches not worn, the clothes forgone and the first-class upgrade declined. Wealth is financial assets that haven’t yet been converted into the stuff you see.”Indeed, the aim of this book is not to sell the author’s service, but it is to give us the complete psychological understanding of our relationship with money, and how to have a better attitude at it. And for that reason, this book offers a fresh perspective in an already saturated personal finance industry. Which is why this is one of the most influential books that I’ve ever read. No wonder it’s so damn popular."
17,Read more
18,"I truly regret not discovering this book during my early 20s, when I embarked on the enduring journey with my soulmate and high school sweetheart. However, I firmly believe that it's never too late to benefit from its invaluable insights. This book encapsulates a wealth of wisdom, not only concerning finances but also life in its entirety. I am convinced that it should be deemed essential reading for every high school senior.Commencing adulthood armed with a strategic blueprint derived from the profound teachings within this book can undoubtedly enhance anyone's prospects of attaining a fulfilled and contented life. I extend my heartfelt appreciation to the author for their exceptional work and express a profound sense of gratitude for sharing these transformative ideas. Kudos to the author for a job well done, and a heartfelt thank you for their generosity in imparting such life-changing knowledge."
19,Read more
20,An excellent book that covers how to think about one‘s money and wealth. This book is very good mostly because the concepts it tries to explain are very simple to understand. Such a short book with so much wisdom and generally good advice. Highly recommend!
21,Read more
22,"The enlightening, no-nonsense content of this book truly reaches over and applies to many facets of life, not just finance. I found this book to be very reassuring and encouraging, as I was surprised to realize that my husband and I already follow many of the strategies presented here. (We are very low-income overseas missionaries serving in the third world, but even so the principles found in this book apply to our limited financial range.) I especially appreciated all of the unique anecdotes, historical lessons and quotes pulled from various realms of society to further illustrate the book's key points in each chapter."
23,Read more
24,"The parts that strike a cord with me most are on the topic of compounding, enough and moving goalpost. I’ve been reading a lot regarding trading psychology in recent years and I found that most of the concepts can be equally apply to life. Life is a journey that we need to make a lot of choices. For every choice we make there comes risk and reward. So in a sense it’s a risk management process. Risk management is a probability game. No matter how smart we make our choices, chances are we can still lose if the odd turns against us. The early discussion of this book reminded us about this fact. This is a really great book to read if you want to have a better life and have a right mindset to accumulate wealth. Highly recommended."
25,Read more
